31,1,37,15.4,0.370,0.357,0.143,0.000,18.4,39.3,28.5,8.7,0.0,2.3,6.3,20.1,98,103,0.0,0.1,0.1,0.069
22,73,894,9.1,0.437,0.396,0.210,0.210,4.6,14.3,9.4,10.4,2.0,0.8,15.1,20.4,87,109,-1.1,0.6,-0.5,-0.028
27,81,2239,12.3,0.535,0.486,0.255,0.003,7.0,15.2,11.2,6.0,1.0,2.3,10.9,15.5,107,104,2.0,2.7,4.7,0.101
34,72,1786,10.7,0.623,0.608,0.105,0.873,2.7,8.4,5.7,5.7,1.2,2.5,8.2,11.0,122,107,2.8,1.6,4.4,0.119
24,73,2807,15.7,0.566,0.522,0.252,0.533,4.0,13.2,8.5,20.3,1.7,2.2,17.0,18.2,109,109,3.8,1.9,5.8,0.099
24,80,1765,13.5,0.514,0.476,0.196,0.324,1.4,10.5,5.9,24.9,1.8,0.8,15.1,20.8,104,103,1.5,2.5,4.0,0.108
26,16,141,8.8,0.521,0.500,0.333,0.028,10.4,15.5,13.1,5.2,0.4,3.1,21.0,17.1,94,103,0.0,0.2,0.1,0.050
23,61,267,11.3,0.454,0.414,0.379,0.293,2.1,6.8,4.5,13.1,3.2,1.2,11.7,25.7,91,104,-0.3,0.3,0.1,0.014
19,56,1745,13.6,0.515,0.477,0.231,0.344,2.7,10.8,6.7,13.7,1.5,1.3,10.6,22.2,102,105,1.0,2.0,3.0,0.082
24,75,1554,10.8,0.462,0.434,0.164,0.188,3.7,17.2,10.3,12.5,1.0,1.6,14.9,27.6,87,109,-2.5,1.0,-1.5,-0.047
24,45,549,10.6,0.470,0.429,0.216,0.409,1.9,9.6,5.8,22.6,1.8,0.6,14.6,18.7,97,109,0.0,0.4,0.4,0.032
26,73,1882,10.4,0.513,0.460,0.275,0.362,0.8,7.8,4.3,12.9,1.3,0.2,10.7,18.7,104,107,1.3,1.6,3.0,0.076
24,41,713,15.4,0.551,0.513,0.217,0.508,7.2,10.1,8.7,24.2,2.6,2.2,17.5,15.4,116,105,1.4,0.8,2.2,0.148
26,53,495,7.7,0.449,0.476,0.619,0.000,7.8,25.7,17.0,3.7,1.5,6.6,34.4,3.7,102,98,0.1,1.0,1.1,0.102
36,22,418,15.0,0.601,0.527,0.364,0.682,0.6,8.4,4.6,17.4,1.5,0.2,14.5,19.6,117,108,1.0,0.3,1.3,0.146
20,80,2186,10.1,0.472,0.451,0.410,0.000,9.9,20.9,15.2,2.5,0.7,5.3,16.7,10.2,98,109,0.1,1.3,1.4,0.031
23,61,851,14.6,0.543,0.524,0.258,0.004,9.5,21.1,15.6,8.3,2.2,0.9,14.0,19.0,104,99,0.7,1.5,2.2,0.126
32,45,1175,11.7,0.573,0.556,0.130,0.633,2.0,10.1,6.2,21.9,1.5,0.4,17.8,13.2,114,109,1.6,0.8,2.4,0.097
26,82,1555,21.9,0.547,0.514,0.320,0.033,12.2,19.6,15.8,10.5,3.0,2.7,13.8,26.5,107,101,2.4,2.5,4.9,0.153
23,76,1553,17.5,0.513,0.473,0.236,0.137,6.1,11.1,8.6,23.5,3.7,3.0,17.9,22.5,102,101,1.1,2.6,3.7,0.115
32,74,1408,6.7,0.533,0.528,0.060,0.863,1.3,8.8,5.0,8.1,1.1,0.2,14.4,11.2,105,110,0.7,0.7,1.4,0.047
28,32,786,13.8,0.463,0.454,0.207,0.005,9.8,24.1,17.2,12.5,1.3,5.5,14.8,13.4,103,100,0.4,1.4,1.7,0.106
32,68,909,11.8,0.609,0.602,0.065,0.522,3.4,12.5,8.2,5.8,1.0,1.5,6.3,12.8,119,104,1.4,1.1,2.5,0.133
25,48,887,13.9,0.509,0.491,0.327,0.023,12.2,17.8,14.9,7.4,1.9,1.4,11.0,14.5,109,102,0.9,1.4,2.3,0.126
31,79,2546,17.1,0.510,0.477,0.232,0.002,7.8,27.2,17.4,13.4,1.4,0.8,12.3,25.8,101,100,1.4,4.3,5.7,0.108
28,74,2454,20.0,0.592,0.546,0.333,0.082,7.0,17.6,12.6,8.4,1.4,3.4,11.0,22.7,114,103,5.6,3.4,9.0,0.175
22,50,1435,8.8,0.461,0.444,0.103,0.264,2.5,6.5,4.6,11.6,2.3,1.0,12.6,18.8,90,105,-1.3,1.6,0.4,0.012
33,72,1527,15.2,0.499,0.473,0.195,0.002,9.7,21.5,15.7,7.1,1.7,4.6,9.9,17.2,105,102,1.2,2.2,3.4,0.107
26,82,2003,14.7,0.506,0.476,0.245,0.348,3.1,9.9,6.6,9.5,3.0,0.9,9.4,23.4,104,105,1.7,2.2,3.9,0.093
27,60,853,10.0,0.416,0.412,0.197,0.384,5.7,13.5,9.6,8.6,2.7,0.6,7.7,12.7,99,105,0.1,1.0,1.1,0.060
27,46,711,10.2,0.432,0.429,0.223,0.406,4.6,12.1,8.2,8.4,2.6,0.7,6.8,13.6,100,106,0.1,0.7,0.8,0.057
